id,company,logo,description,site,address,size,created_at,updated_at
11,BSS Group,https://via.placeholder.com/90,"['BSS Commerce is the leading brand of BSS Group - the top full-service eCommerce development agency in Vietnam. Since 2012, BSS Commerce has become a trusted partner of global online merchants with 500+ successful projects and 21,000+ satisfied clients (B2B, B2C và B2B2C). We now provide a wide range of products and services on multiple platforms, including Magento, Shopify Plus, BigCommerce, Shopware, and more to match the business needs for every client worldwideFind out more about BSS Commerce’s products and services: https://bsscommerce.com/', 'BSS Commerce là thương hiệu nền tảng của BSS Group - đối tác cung cấp các giải pháp thương mại điện tử toàn diện cho Doanh nghiệp Việt Nam và toàn cầu. Được thành lập từ 2012, BSS Commerce đã và đang đồng hành với hơn 21,000 khách hàng trên toàn thế giới (B2B, B2C và B2B2C). Chúng tôi mang đến các sản phẩm, dịch vụ tối ưu cho doanh nghiệp trên đa nền tảng như Magento, Shopify Plus, BigCommerce, Shopware, etc, để đáp ứng mọi nhu cầu của khách hàng trên toàn thế giới.Tìm hiểu thêm về sản phẩm và dịch vụ của BSS Commerce tại: https://bsscommerce.com/']",http://bssgroup.vn,"Tầng 14, 16, 18 và 19, tòa nhà Viwaseen, số 48 Tố Hữu, Nam Từ Liêm, Hà Nội",100-499,4/7/2023,4/7/2023
12,Công ty Cổ phần Onew,https://via.placeholder.com/90,"['Công ty CP Onew là đơn vị Tổng thầu, thực hiện các dự án xây dựng cơ sở hạ tầng, năng lượng mặt trời trên mái, xây dựng Công nghiệp. Trải qua khoảng thời gian hoạt động và phát triển chưa dài nhưng chúng tôi tự hào là doanh nghiệp có bước đi chắc chắn và ổn định, với môi trường trẻ trung năng động, nhiệt huyết và chuyên nghiệp hóa cao, Chúng tôi mong muốn tìm kiếm những ứng viên tiềm năng, có cùng chí hướng, năng động và cống hiến hết mình vì công việc có trình độ chuyên môn cao.']",https://onew.vn/,"Tầng 7, 434 Trần Khát Chân, Phố Huế, Hai Bà Trưng,  Hà Nội",25-99,4/7/2023,4/7/2023
13,CÔNG TY CỔ PHẦN THUONG MẠI VÀ DỊCH VỤ NGỌC HÀ,https://via.placeholder.com/90,"['Công ty Ngọc Hà bắt đầu kinh doanh thương mại và dịch vụ tại Hà Nội từ năm 2000, cho đến nay đã trở thành một hệ thống với 30 chi nhánh & điểm kinh doanh với 1000 nhân sự trên toàn quốc.Chúng tôi đã đặt địa điểm chi nhánh và kho hàng tại các tỉnh thành có nhiều khu công nghiệp để đáp ứng nhu cầu hàng ngày về mua các sản phẩm phục vụ văn phòng, cũng như các sản sản phẩm cho xưởng sản xuất của các nhà máy, cơ quan, xí nghiệp, trường học, ngân hàng ...Chúng tôi luôn cố gắng ứng được các nhu cầu khác nhau của doanh nghiệp và tới nay chúng tôi đang cung cấp trên 12.000 mặt hàng (không chỉ riêng văn phòng phẩm) và đang được coi là “ Kho hàng tiện ích” của các cơ quan, nhà máy, xí nghiệp.Cổ đông sáng lập Công ty Ngọc Hà là bà Bùi Thị Ngọc – phóng viên, ông Nguyễn Hải Hà- kiểm toán viên cao cấp của KPMG.Hoạt động trong lĩnh vực thương mại ,Ngọc Hà hiểu rõ tầm quan trọng của con người đối với tổ chức. Công ty luôn ưu tiên và chú trọng tuyển dụng, đào tạo và phát triển đội ngũ nhân sự trẻ. Chỉ cần bạn có đủ nhiệt huyết và thể hiện được năng lực trong công việc, chúng tôi sẽ luôn sẵn sàng dành cho bạn cơ hội thăng tiến cùng những đãi ngộ hấp dẫn.Hiện nay Công ty Ngọc Hà có hơn 800 nhân viên trên toàn quốc. Với mong muốn tuyển chọn được những nhân sự phù hợp và gắn bó. Chúng tôi mang lại cho nhân viên chế độ phúc lợi tốt.', 'NGỌCHÀ là nhà phân phối / đại lý của nhiều thương hiệu lớn như Giấy Bãi Bằng, Giấy IK Plus, Kokuyo, Canon, HP…', 'www.ngochatrading.com.vn, www.ngochagroup.com']",https://ngochagroup.com,"B22, Lô 19, KĐT Định công, đường trần điền, phường định công, quận hoàng mai,  Hà Nội",500-1000,4/7/2023,4/7/2023
14,Công ty TNHH Vạn Luật,https://via.placeholder.com/90,"['Vạn Luật tin rằng luật pháp được xây dựng nên là để bảo vệ cho mọi người dân, vì vậy kiến thức về luật pháp là một điều tất yếu mà mọi người phải và nên biết. Chúng ta càng hiểu biết nhiều về pháp luật xung quanh chúng ta, thì chúng ta sẽ càng được bảo vệ và tự tin hơn trong cuộc sống hàng ngày.', 'TẦM NHÌN VÀ SỨ MỆNH:', '1. Với thị trường: cung cấp dịch vụ tư vấn Luật chuyên nghiệp, sáng tạo, hiện đại, đảm bảo lợi ích cao nhất cho khách hàng.', '2. Với nhân viên: không ngừng xây dựng môi trường làm việc chuyên nghiệp, năng động, hiện đại, giàu tính nhân văn, đề cao yếu tố con người, tạo cơ hội nâng cao nghiệp vụ và phát triển sự nghiệp cho mỗi cá nhân.', '3. Với cộng đồng: Vạn Luật là công ty tiên phong áp dụng công nghệ để hướng dẫn, phổ cập kiến thức và tin tức về luật pháp một cách dễ hiểu, gần gũi cho mọi người.', 'Tìm hiểu về chúng tôi qua Youtube và Facebook (Từ khóa ""Vạn Luật""). Website: vanluat.vn']",https://vanluat.vn/,"P803, Tòa N01-T3, Khu ngoại giao đoàn, phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",10-24,4/7/2023,4/7/2023
15,CÔNG TY TRÁCH NHIỆM HỮU HẠN BẢO HIỂM NHÂN THỌ MB AGEAS (MB AGEAS LIFE),https://via.placeholder.com/90,"['Công ty TNHH Bảo hiểm nhân thọ MB Ageas (MB Ageas Life) được thành lập theo Giấy phép thành lập và hoạt động số 74/GP/KDBH, ngày 21 tháng 7 năm 2016 của Bộ Tài chính.', 'MB Ageas Life xây dựng trên cơ sở liên doanh giữa 3 đối tác gồm: Ngân hàng TMCP Quân đội (MB Bank) của Việt Nam, Tập đoàn Ageas từ Bỉ và Công ty bảo hiểm nhân thọ Muang Thai từ Thái Lan.', 'Hướng đến mục tiêu trở thành Công ty bảo hiểm nhân thọ hàng đầu được tin yêu nhất, MB Ageas Life thực hiện chiến lược phát triển ""Đa kênh"". Trong đó, kênh Bancassurance được triển khai rộng khắp tại 300 chi nhánh, phòng giao dịch MB trên toàn quốc. Kênh đại lý truyền thống tiếp tục mở rộng với hàng ngàn tư vấn viên, cùng hệ thống văn phòng chính thức có mặt tại khắp các tỉnh thành. Kênh kỹ thuật số được phát triển đồng bộ, thông minh và chuyên nghiệp trên các nền tảng website, fanpage, Zalo, ứng dụng MB App, ứng dụng Viettel Pay...', 'Đó là những tiền đề quan trọng để MB Ageas Life hiện thực hóa sứ mệnh: ""Đồng hành cùng Bạn dựng xây hạnh phúc"" - Mang đến thị trường bảo hiểm nhân thọ Việt Nam một cách tiếp cận mới, đối với các sản phẩm tài chính nói chung và sản phẩm bảo hiểm nói riêng.']",https://www.mbageas.life,Tầng 15 Tòa nhà 21 Cát Linh - Phường Cát Linh - Quận Đống đa - Hà Nội,500-1000,4/7/2023,4/7/2023
16,Công ty TNHH Điều hoà Gree (Việt Nam),https://via.placeholder.com/90,"['Gree đã chính thức có mặt tại Việt Nam vào năm 2013 và đang có những bước tiến mạnh mẽ trên thị trường. Trong khoảng thời gian từ 2013 đến 2015 Gree đã đạt tốc độ tăng trưởng cao nhất thị trường với con số lên đến 65%. Định hướng sắp tới của GREE Việt Nam sẽ tiếp tục cung cấp đến khách hàng những sản phẩm chất lượng với nhiều tính năng vượt trội, tiết kiệm điện năng và thân thiện với môi trường. Bên cạnh đó là những dịch vụ hậu mãi hấp dẫn đúng với phương châm luôn đặt sự hài lòng của khách hàng lên hàng đầu từ trước đến nay của Gree.', '', 'Gree tự tin vào công nghệ và chất lượng sản phẩm mang đến cho khách hàng. Tỷ lệ bảo hành cực thấp chỉ 0.03% là minh chứng cho điều đó.', '', 'SỨ MỆNH:', '“Điều hòa không khí cho mọi nhà”- đó chính là sứ mệnh của chúng tôi khi đặt chân đến Việt Nam. Gree mong muốn mang đến cơ hội sử dụng điều hòa không khí cho tất cả mọi người với nhiều dòng sản phẩm đa dạng phù hợp với từng đối tượng khách hàng. Góp phần mang lại cho mọi người một cuộc sống tiện nghi và tốt đẹp hơn.', '', 'NĂNG LỰC CUNG CẤP', 'Là một tập đoàn chuyên về sản xuất điều hòa không khí, với dải sản phẩm điều hòa dân dụng và điều hòa thương mại đa dạng. Gree tự tin có thể mang đến những giải pháp toàn diện và tiết kiệm nhất đáp ứng nhu cầu của mọi khách hàng.', '', 'NĂNG LỰC TƯ VẤN', 'Với đội ngũ chuyên viên kỹ thuật chuyên nghiệp và nhiều kinh nghiệm, chúng tôi tin tưởng có thể giải đáp mọi thắc mắc và mang đến những giải pháp tư vấn tốt nhất dành cho khách hàng.', '', 'NĂNG LỰC THI CÔNG', 'Với hệ thống các đối tác chuyên nghiệp được tuyển chọn từ những tiêu chuẩn nghiêm ngặt, các kỹ thuật viên được đào tạo kỹ thuật chuyên môn từ Gree, chúng tôi tin tưởng có thể đáp ứng những yêu cầu thi công lắp đặt một cách chuyên nghiệp và đúng tiến độ.', '', 'DỊCH VỤ SAU BÁN HÀNG', 'Với hệ thống 76 trạm bảo hành rộng khắp cả nước, cùng tinh thần làm việc đầy trách nhiệm và tận tâm chúng tôi sẵn sàng hỗ trợ quý khách hàng khi gặp sự cố một cách tốt nhất, trong thời gian nhanh nhất.']",www.gree.com.vn,"Lầu 19, Cao Ốc Flemington, 182 Lê Đại Hành, P.15, Q11, TP. HCM",25-99,4/7/2023,4/7/2023
17,CÔNG TY TNHH CÔNG NGHỆ VIKINGS,https://via.placeholder.com/90,"Công Ty TNHH Công Nghệ Vikings do ông/bà Tạ Ngọc Phượng làm đại diện pháp luật, được cấp giấy chứng nhận đăng ký kinh doanh ngày 04/10/2021.
Công ty có ngành nghề kinh doanh chính là ""Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và t.bị viễn thông trong các cửa hàng chuyên doanh."", do Chi cục Thuế Quận Cầu Giấy quản lý.",https://vikingstechstore.com/,"189A Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, TP. HCM",25-99,4/7/2023,4/7/2023
18,Công ty Cổ phần Kỹ nghệ Thực phẩm Việt Nam,https://via.placeholder.com/90,"['Là một trong những đơn vị đặt nền móng xây dựng nên ngành thực phẩm ăn liền Việt Nam, VIFON đã trở thành thương hiệu quen thuộc và gắn bó với người tiêu dùng thông qua nhiều sản phẩm sợi ăn liền và gia vị. Tọa lạc trên khuôn viên rộng 67.000 m2 , với năng lực sản xuất lớn, cùng đội ngũ cán bộ công nhân viên giàu tâm huyết, công ty đã không ngừng hiện đại hóa thiết bị và đầu tư mạnh vào nghiên cứu nhằm tạo nên nhiều sản phẩm chất lượng cao cấp.']",https://vifon.com.vn/,"913 Trường Chinh, Tây Thạnh, Tân Phú, TP. HCM",1000+,4/7/2023,4/7/2023
19,Công ty cổ phần dược phẩm VCP,https://via.placeholder.com/90,"['Công ty Cổ phần Dược phẩm VCP (gọi tắt là VCP) là công ty hoạt động trong lĩnh vực sản xuất kinh doanh dược phẩm, được thành lập theo pháp luật Việt Nam, giấy phép kinh doanh số 011032000114 do Bộ Kế hoạch và Đầu tư thành phố Hà Nội cấp ngày 14 tháng 10 năm 2008.', 'VCP cung cấp các sản phẩm chăm sóc sức khỏe người tiêu dùng và phục vụ cho hệ thống y tế trên toàn quốc, cụ thể là những mặt hàng sau:', '- Thuốc bột kháng sinh pha tiêm', '- Sản phẩm thuốc dùng ngoài da (Kem, mỡ, gel, dầu gội đầu, dung dịch dùng ngoài…)', '- Sản phẩm thuốc sản xuất từ đông dược', '', '', '', '', '', '', '']",http://www.vcp.com.vn/," Tầng 16 tòa nhà Charmvit, 117 Trần Duy Hưng, Cầu Giấy, Hà Nội",100-499,4/7/2023,4/7/2023
20,CÔNG TY CỔ PHẦN DU LỊCH & DỊCH VỤ HÒN GAI,https://via.placeholder.com/90,"Kính thưa quý khách,
CÔNG TY CP DU LỊCH & DỊCH VỤ HÒN GAI được thành lập năm 15 tháng 01 năm 2004, Trụ sở chính tại 55 Phố Trần Khát Chân, quận Hai Bà Trưng, Hà nội
Một đơn vị thành viên của công ty có mặt trên thị trường và đóng góp rất lớn những sản phẩn và dịch vụ cho thị trường đó là Công ty APEC TRAVEL .
Ngay từ những ngày đầu thành lập, HONGAI TOURS đã triển khai mạnh mẽ và mở rộng sản phẩm kinh doanh như .
- Tổ chức các đoàn khách đi du lịch nước ngoài
- Tổ chức các đoàn khách thăm quan du lịch trong nước
- Tổ chức đón các đoàn khách inbound từ các nước trên thê giới .
- Nhà hàng ẩm thực được khách hàng yêu thích về phong cảnh và chất lượng
- Vận chuyển khách Du lịch đã mang đến những uy tín lớn từ chúng tôi đối với khách hàng.
﻿Với slogan ""Trọn vẹn niềm tin"", Công ty đã không ngừng lớn mạnh và trở thành công ty Du lịch chuyên nghiệp, cùng với những hệ thống Chi nhánh, văn phòng trên hầu khắp các thành phố lớn của Việt nam như .
- TP Hồ Chí Minh
- Phú Quốc ( Kiên Giang )
- Nha Trang
- Đà Nẵng
- Hải Phòng
- Thái Nguyên
Các văn phòng đại diện và đối tác chiến lược trên toàn thế giới như : Malaysia, Singapore, Thái lan, Campuchia, Đài Loan, Hồng Kông, Trung Quốc, Nhật bản, Hàn Quốc, Đức, Pháp, Hà lan, Mỹ, Canada, Úc, Nga... vv
Mục tiêu của Hongai Tours là cung cấp cho khách hàng nhiều hơn nữa những chương trình Chất lượng cao với chi phí hợp lý, cung cấp những chương trình mới với những điểm đến mới hấp dẫn, mong muốn nhận được sự đón nhận nồng nhiệt từ quý khách .
Với đội ngũ 50 cán bộ và nhân viên trẻ, năng động, hăng say, tâm huyết với nghề Du lịch và luôn hướng tới triết lý kinh doanh của công ty đó là “ Chất lượng TỐT - Giá Tour TỐT - Phong cách phục vụ TỐT  “
Chúng tôi luôn sẵn sàng tư vấn “ miễn phí ” cung cấp thông chính xác nhất về điểm đến, dịch vụ tới quý khách quan tâm đến Du lịch và rất mong muốn nhận được sự chia sẻ và ý kiến đóng góp quý báu của quý khách, đó là tài sản vô giá đối với tập thể cán bộ Nhân viên của HONGAI TOURS .
Chúng tôi đảm bảo rằng quý khách sẽ nhận được những thông tin tư vấn chính xác và tận tâm nhất.",https://www.hongaitours.com/,"Số 55 Trần Khát Chân, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",25-99,4/7/2023,4/7/2023
